jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
GALLARDO ANTONIO A,1760,7,GP,D,FT,G3,100000,NA,37.132542547705,train,NA,NA
GALLARDO ANTONIO A,1980,7,GP,D,FT,G1,12000000,NA,37.23453158039901,train,NA,NA
GALLARDO ANTONIO A,1980,7,AQU,d,GD,N,125000,NA,35.98081023454158,train,NA,NA
GALLARDO ANTONIO A,1760,7,AQU,D,FT,G1,500000,NA,37.44539213646765,train,NA,NA
SPIETH S,2200,7,SA,D,FT,G1,6000000,NA,36.31961259079903,train,NA,NA
PENNINGTON F,1870,7,PRX,D,FT,N,150000,NA,36.32823629974356,train,NA,NA
Other,2200,7,DMR,D,FT,G1,1000000,NA,36.425449247207375,train,NA,NA
Other,1830,7,TDN,D,SY,A,24500,NA,35.9264979190116,train,NA,NA
LOPEZ PASCACIO,1870,7,GP,T,FM,N,75000,NA,37.91633624107851,train,NA,NA
ROCCO J S JR,1870,8,CD,D,SY,G2,400000,NA,35.86161635102194,train,NA,NA
KENNEDY TY,1980,8,CD,T,TF,G3,100000,NA,35.85022572364345,train,NA,NA
BRAVO J,2640,8,KEE,T,TF,G3,100000,NA,34.438775510204074,train,NA,NA
LANERIE C J,2640,8,KD,T,YL,G3,600000,NA,34.504792332268366,train,NA,NA
LANERIE C J,1870,8,CD,T,FM,G2,200000,NA,37.56260434056761,train,NA,NA
MENA M,1760,8,CD,T,TF,N,65000,NA,35.7355568790947,train,NA,NA
*SMULLEN P J,2354,8,DUD,D,FT,A,21157,NA,35.77000222866057,train,NA,NA
*SOUMILLON C,2625,8,STC,T,SF,N,71290,NA,34.95649857954545,train,NA,NA
Other,2625,8,VHY,T,SF,N,73884,NA,33.705701078582436,train,NA,NA
*SOUMILLON C,2625,8,STC,T,SF,A,77799,NA,34.7056957004601,train,NA,NA
BLANC B,1540,1,CD,D,SY,G2,200000,NA,37.36654804270462,train,NA,NA
BLANC B,1430,1,SA,D,FT,N,75000,NA,38.52739726027398,train,NA,NA
STEVENS G L,1870,1,LRC,D,FT,G1,300000,NA,37.06036236798761,train,NA,NA
GARCIA MARTIN,1870,1,SA,D,FT,G1,2000000,NA,35.89527027027027,train,NA,NA
GARCIA MARTIN,1540,1,DMR,D,FT,G1,300000,NA,37.85147801009373,train,NA,NA
SMITH M E,1210,1,DMR,D,FT,S,63000,NA,38.87841658812441,train,NA,NA
LOPEZ PASCACIO,1540,2,CD,D,SY,G2,200000,NA,36.40355945914712,train,NA,NA
LOPEZ PASCACIO,1760,2,GP,D,FT,AO,48000,NA,37.823072073965115,train,NA,NA
LOPEZ PASCACIO,1760,2,GP,D,FT,S,38000,NA,35.835158271949034,train,NA,NA
SMITH M E,1980,3,CD,D,SY,G1,1000000,NA,36.28382010392403,train,NA,NA
SMITH M E,1870,3,SA,D,FT,G1,400000,NA,36.6800920598389,train,NA,NA
TALAMO JOSEPH,1870,3,SA,D,FT,G3,100000,NA,36.977958236658935,train,NA,NA
TALAMO JOSEPH,1870,3,LRC,D,FT,G1,300000,NA,37.40831295843521,train,NA,NA
TALAMO JOSEPH,1540,3,DMR,D,FT,A,59000,NA,37.92439200577896,train,NA,NA
TALAMO JOSEPH,1760,3,SA,D,FT,S,52000,NA,36.37465898757199,train,NA,NA
TALAMO JOSEPH,1320,3,DMR,D,FT,S,63000,NA,37.55737932953123,train,NA,NA
COLON LUIS H,1870,4,BTP,T,FM,N,75000,NA,37.233524773678575,train,NA,NA
COLON LUIS H,1320,4,MVR,D,FT,AO,29700,NA,36.86006825938567,train,NA,NA
COLON LUIS H,1320,4,MVR,D,FT,N,75000,NA,35.695399259650976,train,NA,NA
COLON LUIS H,1320,4,MVR,D,FT,A,27100,NA,36.35873956369512,train,NA,NA
VAN DYKE DRAYDEN,1870,4,SA,D,FT,G1,300000,NA,36.0135580453818,train,NA,NA
PARKER D L,1320,4,BTP,D,FT,N,75000,NA,37.453183520599254,train,NA,NA
COLON LUIS H,1100,4,TDN,D,FT,S,29000,NA,37.612838515546635,train,NA,NA
COLON LUIS H,1210,4,TDN,D,FT,N,75000,NA,36.163062536528344,train,NA,NA
CASTELLANO J J,1540,5,CD,D,SY,G2,200000,NA,37.37541528239202,train,NA,NA
SANTANA RICARDO JR,1870,5,OP,D,FT,G3,400000,NA,36.64846220178212,train,NA,NA
FRANKO-ANGELES GEOVANNI,1870,5,OP,D,FT,G3,200000,NA,37.22265472946672,train,NA,NA
ROCCO J S JR,1760,5,OP,D,FT,N,125000,NA,36.13006824568446,train,NA,NA
ALBARADO R J,1760,5,CD,D,FT,AO,60000,NA,37.55868544600939,train,NA,NA
ALBARADO R J,1870,5,KEE,D,FT,G1,400000,NA,36.06789250353607,train,NA,NA
FELIX J E,1540,5,AP,D,FT,N,75000,NA,36.662011173184354,train,NA,NA
ALBARADO R J,1210,5,IND,D,FT,S,32000,NA,38.32455868689997,train,NA,NA
SAEZ LUIS,1980,6,CD,D,SY,G1,1000000,NA,35.83119525789614,train,NA,NA
SAEZ LUIS,1870,6,GP,D,FT,G2,250000,NA,36.94224454317171,train,NA,NA
SAEZ LUIS,1540,6,GP,D,FT,G2,200000,NA,37.33997155049787,train,NA,NA
CINTRON ALEX,1320,6,LRL,D,FT,N,100000,NA,37.48438150770512,train,NA,NA
GEROUX FLORENT,1540,6,KEE,D,FT,S,60000,NA,37.602960487047866,train,NA,NA
CINTRON ALEX,1760,6,LRL,D,FT,S,40000,NA,35.96044351213665,train,NA,NA
GEROUX FLORENT,1430,6,SAR,D,GD,S,83000,NA,36.973833902161545,train,NA,NA
CINTRON ALEX,1100,6,LRL,D,FT,S,40000,NA,37.07976268951879,train,NA,NA
CASTELLANO J J,1540,7,KEE,D,FT,G3,150000,NA,35.88925601002621,train,NA,NA
CASTELLANO J J,1870,7,SA,D,FT,G1,2000000,NA,35.764375876577844,train,NA,NA
CASTELLANO J J,1540,7,SAR,D,FT,G1,350000,NA,37.41981468282252,train,NA,NA
VELAZQUEZ J R,1320,7,SAR,D,FT,G3,150000,NA,38.08717731696995,train,NA,NA
LOPEZ PASCACIO,1100,7,MTH,D,FT,S,36000,NA,37.94266441821247,train,NA,NA
ROSARIO JOEL,1980,8,CD,D,SY,G1,1000000,NA,36.0898235608626,train,NA,NA
ROSARIO JOEL,1870,8,GP,D,FT,G2,250000,NA,37.16839957244194,train,NA,NA
ROSARIO JOEL,1540,8,GP,D,FT,S,46000,NA,37.585013721512944,train,NA,NA
LEPAROUX JULIEN R,1430,8,GP,D,FT,S,46000,NA,38.1008206330598,train,NA,NA
ARROYO ANGEL S,1760,1,BEL,D,SY,G2,250000,NA,36.345280161534575,train,NA,NA
ARROYO ANGEL S,1540,1,AQU,D,FT,G3,150000,NA,38.29787234042553,train,NA,NA
ARROYO ANGEL S,1830,1,AQU,d,FT,N,100000,NA,35.632382847994464,train,NA,NA
ARROYO ANGEL S,1760,1,AQU,D,FT,G3,250000,NA,36.708473539308656,train,NA,NA
ARROYO ANGEL S,1540,1,AQU,D,FT,N,125000,NA,37.41981468282252,train,NA,NA
VELAZQUEZ J R,1760,1,BEL,D,FT,AO,65000,NA,37.767519932857745,train,NA,NA
TORRES JOMAR,1980,1,SAR,D,FT,N,200000,NA,36.07375077937117,train,NA,NA
TORRES JOMAR,1760,1,SAR,t,FM,N,100000,NA,36.65987780040734,train,NA,NA
TORRES JOMAR,1760,1,BEL,D,FT,A,75000,NA,36.62630989927765,train,NA,NA
TORRES JOMAR,1540,1,BEL,D,SY,S,60000,NA,37.41981468282252,train,NA,NA
ROSARIO JOEL,1870,2,CD,D,SY,G1,300000,NA,36.32823629974356,train,NA,NA
ROSARIO JOEL,1540,2,KEE,D,FT,G1,300000,NA,37.46431969552807,train,NA,NA
ORTIZ JOSE L,1980,2,KEE,D,FT,G1,500000,NA,36.476627938395026,train,NA,NA
SANTANA RICARDO JR,1980,2,SAR,D,FT,G1,750000,NA,37.12530937757815,train,NA,NA
SANTANA RICARDO JR,2200,2,DEL,D,FT,G1,750000,NA,36.5913156610831,train,NA,NA
SANTANA RICARDO JR,1980,2,CD,D,FT,G2,200000,NA,37.34784212467724,train,NA,NA
GEROUX FLORENT,1760,2,CD,D,FT,AO,72000,NA,37.44539213646765,train,NA,NA
GEROUX FLORENT,1430,2,KEE,D,FT,AO,64000,NA,38.48177871332719,train,NA,NA
LANERIE C J,1540,2,KEE,D,FT,G2,250000,NA,37.643403441682594,train,NA,NA
ROSARIO JOEL,1320,2,SAR,D,FT,G2,300000,NA,38.41229193341869,train,NA,NA
